,Unnamed: 0,activity_name,description,url,image,available_days,available_times,latitude,longitude,address,price,currency,category,week,destination,hours_min,hours_max
0,0,Tour privado por Roma ¡Tú eliges!,"Si queréis conocer la Ciudad del Amor de forma exclusiva, en el tour privado por Roma contaréis con un guía particular solo para vosotros.",www.civitatis.com/es/roma/tour-privado-roma/,www.civitatis.com/f/italia/roma/tour-privado-roma-list.jpg,"['05', '08', '09', '06', '10', '07']","[['9:00', '10:00', '11:00', '12:00', '13:00', '14:00', '15:00', '16:00', '17:00', '18:00', '19:00'], ['9:00', '10:00', '11:00', '12:00', '13:00', '14:00', '15:00', '16:00', '17:00', '18:00', '19:00'], ['9:00', '10:00', '11:00', '12:00', '13:00', '14:00', '15:00', '16:00', '17:00', '18:00', '19:00'], ['9:00', '10:00', '11:00', '12:00', '13:00', '14:00', '15:00', '16:00', '17:00', '18:00', '19:00'], ['9:00', '10:00', '11:00', '12:00', '13:00', '14:00', '15:00', '16:00', '17:00', '18:00', '19:00'], ['9:00', '10:00', '11:00', '12:00', '13:00', '14:00', '15:00', '16:00', '17:00', '18:00', '19:00']]",41.906658,12.48199,"19, Piazza di Spagna, Campo Marzio, Municipio Roma I, Roma, Roma Capitale, Lazio, 00187, Italia",18.2,EUR,Español,1,roma,2.0,2.0
1,1,Visita guiada por la Basílica de San Pedro,"Historia y arte se entremezclan en esta visita guiada por la Basílica de San Pedro. Si lo deseáis, podréis subrir a la cúpula reservando esa opción específica.",www.civitatis.com/es/roma/subida-cupula-san-pedro/,www.civitatis.com/f/italia/roma/subida-cupula-san-pedro-list.jpg,"['09', '07', '05', '08']","[['8:15'], ['8:15'], ['8:15'], ['8:15']]",41.9071788,12.4564381,"Minimarket, 27, Via Vespasiano, Prati, Municipio Roma I, Roma, Roma Capitale, Lazio, 00192, Italia",10.5,EUR,Español,1,roma,721.0,3.0
2,2,Excursión a Venecia en tren de alta velocidad,En esta excursión a Venecia en tren de alta velocidad disfrutaréis de seis horas en la ciudad de los canales. La mejor manera de recorrer el centro histórico.,www.civitatis.com/es/roma/excursion-venecia/,www.civitatis.com/f/italia/roma/excursion-venecia-list.jpg,"['09', '07']","[['7:30'], ['7:30']]",41.90198,12.503145,"48, Via Marsala, Castro Pretorio, Municipio Roma I, Roma, Roma Capitale, Lazio, 00185, Italia",54.6,EUR,Español,1,roma,15.0,15.0
3,3,Visita guiada por los Museos Capitolinos y alrededores,El Monumento a Víctor Manuel II y la Plaza del Campidoglio atesoran grandes historias. Las descubriremos en esta visita guiada por los Museos Capitolinos.,www.civitatis.com/es/roma/visita-guiada-museos-capitolinos/,www.civitatis.com/f/italia/roma/visita-guiada-museos-capitolinos-list.jpg,"['10', '08', '06']","[['9:30', '16:30'], ['9:30', '16:30'], ['9:30', '16:30']]",41.893293,12.482938,"Piazza del Campidoglio, Campitelli, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",14.0,EUR,Español,1,roma,3.0,3.0
4,4,Tour por las plazas y fuentes de Roma,"La Fontana de Trevi, la Piazza Navona o el Campo dei Fiori son algunos de los lugares que visitaremos en este tour por las plazas y fuentes de Roma.",www.civitatis.com/es/roma/paseo-plazas-fuentes-roma/,www.civitatis.com/f/italia/roma/paseo-plazas-fuentes-roma-list.jpg,"['09', '07']","[['15:00'], ['15:00']]",41.9036625,12.488483,"Fontana del Tritone, Piazza Barberini, Trevi, Municipio Roma I, Roma, Roma Capitale, Lazio, 00187, Italia",10.0,EUR,Español,1,roma,2.5,2.5
5,5,Taller de pasta italiana y tiramisú,¿Os apasiona la cocina italiana y estáis buscando planes diferentes para hacer en Roma? Disfrutad de la gastronomía con este taller de pasta y tiramisú.,www.civitatis.com/es/roma/taller-pasta-italiana-tiramisu/,www.civitatis.com/f/italia/roma/taller-pasta-italiana-tiramisu-list.jpg,"['10', '06', '05', '09', '07', '08']","[['15:30', '17:30', '19:30'], ['15:30', '17:30', '19:30'], ['15:30', '17:30', '19:30'], ['15:30', '17:30', '19:30'], ['15:30', '17:30', '19:30'], ['15:30', '17:30', '19:30']]",41.90579607,12.46929204,"Piazza Cavour, Prati, Municipio Roma I, Roma, Roma Capitale, Lazio, 00193, Italia",12.0,EUR,Inglés,1,roma,2.0,2.0
6,6,Free tour por los alrededores del Vaticano,En este free tour por los alrededores del Vaticano os acompañaremos a descubrir los grandes secretos de la plaza de San Pedro y del castillo de Sant’Angelo.,www.civitatis.com/es/roma/free-tour-vaticano/,www.civitatis.com/f/italia/roma/free-tour-vaticano-list.jpg,"['05', '09', '07']","[['10:00'], ['10:00'], ['10:00']]",41.90521,12.469785,"Piazza Cavour, Prati, Municipio Roma I, Roma, Roma Capitale, Lazio, 00193, Italia",2.0,EUR,Español,1,roma,361.0,1.5
7,7,"Autobús turístico de Roma, City Sightseeing","El autobús turístico de Roma es ideal para recorrer la ciudad. 2 plantas, descapotable, con comentarios en español y 8 paradas en las que podréis subir y bajar.",www.civitatis.com/es/roma/autobus-turistico-roma/,www.civitatis.com/f/italia/roma/autobus-turistico-roma-list.jpg,"['07', '10', '06', '09', '08', '05']","[[], [], [], [], [], []]",0.0,0.0,,8.25,EUR,Español,1,roma,24.0,72.0
8,8,OMNIA Rome & Vatican Card,"La tarjeta OMNIA Rome & Vatican Card permite el acceso prioritario a las principales atracciones de Roma, incluyendo el Coliseo, el Foro y la Capilla Sixtina.",www.civitatis.com/es/roma/omnia-vatican-rome-card/,www.civitatis.com/f/italia/roma/omnia-vatican-rome-card-list.jpg,"['07', '10', '06', '09', '08', '05']","[[], [], [], [], [], []]",41.902001,12.458833,"Piazza Pio XII, Borgo, Municipio Roma I, Roma, Roma Capitale, Lazio, 00193, Italia",22.35,EUR,Entradas,1,roma,72.0,72.0
9,9,Excursión a Asís + Degustación de vino,En esta excursión a Asís descubriremos los pequeños pueblos de la verdadera Italia recorriendo la arquitectura religiosa de Umbría y los paisajes de la Toscana.,www.civitatis.com/es/roma/excursion-orvieto-asis/,www.civitatis.com/f/italia/roma/excursion-orvieto-asis-list.jpg,"['08', '05']","[['7:30'], ['7:30']]",0.0,0.0,,59.4,EUR,Español,1,roma,17280.0,12.5
